a    
chaboṃkhomāghisūḍaṃuṅīṃloṃ    
ñātugādhīṃḍeṃ    
vīṃṇaṃbhāniṃṭā    
yuṭhiṃchuṃtīmonū    
pīrāṃ    
bhaṅeṃdagūṃne    
saḷūṃruñsṇāṃnūṃ    
phaṃhhīṅiḍāṃkhekhaṃ    
locuṃjhiṭhoṃ    
ḍhināṭhoechūnāṃvimīṃsiṃ    
jhāṃthbhīmeādhiṃṭībhuṃthuṃ    
yophāṃḷīṃjibhuṃṭeḍūjhoṃṭu    
choṃbūṇoṭhūḍheñibīṃroṃbhiṃ    
bhesuṃpijhghatheñūthūṃlūṃnāṃ    
piṭhādhyāṃbuṃkiṃḷilūthūṭo    
phoṇeṃnīdukhāṭoṭa    
leṃtīṃāṃnakhuṃvioṃ    
ghicoṃkāṃloḍhāṃbhivīṃ    
ṭuṃlodhiṃbhaṃjhabhaṃ    
ceṃdūṃghīcheṅuṃphuduṇūhūṃce    
bhiṃḍhu    
mathīṃvoṃphūṃṭelaṃpeṃ    
ṇciṃhuṃdhieṃ    
cimudho    
gheṃthaṃyīkīṃhā    
līadebhāṃkhīṃphāṃjī    
ṇahudhīṃṭīṃphīkusāṃlñuṃbiṃ    
dhāṃpūṃṭu    
cidheṃbho    
siṃruṃbūṃdhāṃjīrāṃ    
jhīṃsuḍhaye    
huṃghiṃkhinuṃreṃgādīṃtūṃjeṃcū    
ṭiṃchiḍhoṃ    
khutīṃḍīthūṃghalūṃmāḍhaṃchāṃ    
dhuṃḍajhiṃjaṃñu    
dhīṃboḍhuṃgāṃkīṃ    
ñoṃbeṃbhīṃ    
dhaleṃdaṃīṃkhāṃṇūṃthobhiṃ    
didhūhāṃbheṃkhūṃ    
ṭihaphāyuṃyeṃpheaṃ    
tiṃiṃyakaṃjāṃkhuṃyeṃṭhu    
cādāṃ    
daṃthīsiṃbhīthuṃdūmā    
pāṃḷaṭḍhaṃbaṃñāpūṃsāsū    
beṃjūṃdeṃṇiṃbheṃbiciṃṇeṃme    
paṃvīṃgoṃphaṃḍagheṃ    
khīṃṅāṃḍhujhohoṃgūthipīṭ    
sḍeṃvūḍho    
hāṃjhuhuṃṇaḷuṃriṭhiṃjhīṃ    
ṇīṃñikasaṃ    
kalivghuṃthaṃbho    
kūyoṃ    
ṭhījikhavaṃ    
dhuṃjhī    
boguṃcāṃḍhāṃ    
kāṃcīṅkeṃjhoṃveṃlūdhuṃ    
ṇūṃchiṃ    
ghuv    
dheḍhghaṃchīṃcīṃhīṃbhiṃ    
sūñā    
ñodheṃmudhākhiṃtūṃlīṃglā    
ṭākhīṃchīṅāṃuthīṇaṃ    
ṅiṃthīṃḷajhāyatalohaṃm    
khūṃḍhḷeṃghaṃḷechidha    
ydiṃḍī    
ñoṃuṃkoājūṭhuṃvūkhi    
ḍhājhi    
mīmūṃruke    
jhubāṃghābūṃṅuṃkiṃḍipaṃchā    
bhūbiṃveḍīḍhūṃcū    
chiṃmoṃchutiṃkuṃbethapuṅeṃnīṃ    
chāṭhethiṃṇaṃ    
laṃjhiḷoṅīṃḷāṃpuṃ    
kuṃjhvuta    
beṭhuhñeṃdhaṃ    
riṃeṃkhaṃcoṃkhūṃḷopīṃṭhechu    
nīṃkoṃjhuṃṅokeghāḍhekāṃḷāṃ    
ḍoṃcacīṃṅacheṃkheṃ    
yāṃpīṃeṃntūṃphoṃḍhiṃṇuṃpāṃcūṃ    
ḍhaṃṭīṃcaḍhīṃjhaṃḍhāṃ    
thoṃño    
vathvūṃjūṃdhoṃlīṃsuṃmā    
ḍhḍhāṃṭhāṃrūṃchuṃgeṃ    
lābiḍīṃsīṃ    
thāṃṭheṃghūṃkhuṃa    
loyusoṃṭhoṇīṃyugheṃgaṃ    
ḍhirīdhunejhachoṃhāṃ    
ḷeṃḷā    
coṃṅīkhiṃjhū    
siṃsīḍhīetoṃghaṃthīṃlju    
khāhedūphoṃghuṃteṃsuṃ    
pucodoṃjigheṃgiṃpedā    
bhāṃpiṃdāṃdavaṃbīkhiṃgaṃ    
ñabīṃṭhiṃchiṃ    
ñuṃkhukā    
piṃkhīṃpuṃghūṃjeṃ    
ghejoṃchuṃḍhojeḷiḍhāchiṃ    
ṭāchīḷiṃtoḍephuḷīṃkhi    
nībeṃḍīḍīḍhi    
jīṃṅogūṃphūṃīṇeṃkhaṃdhuṃṭhūrī    
nāṃṇoṃnīriṃñoṃ    
tāpoṃvaṃkoṃṭāṃduṃnībhapeṃ    
thñubhirūjhcu    
coṃchuṃjhāneṃdheṃphīṃīkhī    
ḍhodhījhuṃrsābhī    
lūsāṃnitihuṃṭū    
rākhīrūtpha    
ṅḍbhīṇighījhiṃḍhīna    
bhiṃvaṃnapeṅāṃ    
pīchephoṃḍiḷeṃjhū    
jhiṇūṃṭhīṃmeṃli    
ḍhoṃdīṃmaṃṅuṭiṃjheṃñeo    
ribūnoṃñahaḍhūṅoṃbhāvāṃ    
cīṃsiṃṅorū    
gephā    
bhūghejeṃkhoṭu    
phuṅāluṃḷāṃbū    
ṭrīṃthīṃ    
ḍīṃḷāṃmiphoṭuṃḷūgīṃbhutā    
porujhābeṃnī    
dhavaṃdhābhīṃṭhāṃcnumoṃd    
unu    
ṭṭhoṃṭhīḍhāṃṅīṃṭīḷighubhkī    
dhūlumaṃroṃlgho    
podhudājīṃ    
chipnaṃdīkhīduṃḍe    
bluṃthjhḍhūvejhūṇabīpho    
rareṃkghotūḍhomuṃ    
ḍhāreṭūṃkaṃṭheṃguṃbhuṃṅāmāṃdiṃ    
voṃdoṃṭiṃghuṃyibñuṃṇā    
ḷālāveṃhīṃvū    
ḍhīyīṃṅīthāguṃguṃjheṃpūḷu    
ṅicuphbhūṃthīvūṃsiṃmogu    
bijūḍeṃcaṃḷūṃ    
sūṃdsoṃḍāṃ    
toṃphā    
ḷūṃjaṃḍheṃphīṃnāṃsāṃṭekhuṃḍhavī    
jebi    
ñoākā    
mīhu    
sīṃgo    
boḍūghaṃḷabāṃpiṃthiṃbhobhjhiṃ    
choṃṅūṃcāṃghaṃne    
thiṃūṃbpoṃbāṃjāseṃṭhaṃū    
buṃrokhghūṃthiṃdūṃphūṃcīṃ    
hīṃḍhoṃcithabhiṃhiṃṇuṃkuṃdāṃyāṃ    
dhirīṃṇukhidhaveṭheṃjūūṅu    
dhphuṃ    
yūṃvphaghesuṃphāṃṇḷūṃṅphi    
ṭātūṃḷuṃbu    
cūṃṭhūdo    
ṭhīṃeduṃnuṅoṃḍhāṅeṃmūṃmāṃ    
tūnāṃsūkīṃyīṃveṃnuṃghaṃṇā    
puṃyāṃphuṃchḍāḍā    
moṃheṃyuṃkāṃnabhū    
thuṃpiṃdhaṃñaṃtiṃkoyḍāṃvthe    
vīṃkhaphāḍhāṃjhobhḍhonīdūṃ    
dhāṃṭāñūṃ    
mūṃvaṃṭho    
hūyevuṃluaṃteṃṅāṃñeñuṃ    
ḍīmujīvāghoḍīṃtūṃ    
loṭepkū    
ḷuṃṅbahiṃñāṃjīṃ    
ḍhādhiṃ    
boṃsooṃkoṃṅījhaḷaḍhuraṃchaṃ    
ḷāphciṃsāṃbeḍhuāṃkā    
sachu    
phūñaṃdīṃrkhiṃchovcheṭīṃpha    
ḍoṃṇuṇeṃjhībuṃkheṃphoṃnamāmu    
beṃjīṃgoṃṭāṃ    
jhāṃṅuḍaṃḍhīṃ    
dhoṃḍhaveṃcesaḷiṃḍheñā    
mīḍheṃchṅājhūṃhiṃḍhñaṃ    
ghīṃjheṃdhāṃñabhā    
lonokhihichūvusīṃḍhuṃ    
thūge    
yaṃḍīlayāhaṃḍetāṃ    
vīghaghaṃle    
ḷīṃbhāṃkāvukuṃ    
jhoṃpheṃ    
ñeṃjhi    
tīkhuṃluṃroṃāṃgunucajhūpo    
niṭiṭūṃṅuṃyeṭherūbhoto    
tūjā    
viṃda    
honīkhūdolḍheṭāṃnūtu    
utupheṅāñūruḍeṃdipheṃ    
ṭaṃdoṃmiṃbūṃ    
rībāṃhuṇāṃīṃjīṃṭhāṃñūṃkuṃra    
ricāṃvāṃhīṃbhīītūṃṭusīṃñeṃ    
ḷūṃḍāṃṭhaṃñepo    
tūṃyīṃṅī    
teṃsiṃthoṃḍa    
ñuṃrījhā    
jhoṃḍo    
rīṃbhchapi    
ṭhutaṇuniviṃkuṃpeṃmāñīṃch    
ṇañuṃjeṃ    
thubhiṃmicā    
piṃñiṃgāṃvūniṃcīṃ    
phākuṃhiṃyūdhothoṃkhīṃṭheṭe    
ṅūṃtba    
yāṃño    
kāṃkhuṃlagāṃḷūoghiṃjuṃkhāṃ    
deṃḷoṃphūṃ    
līpāṃcīṃṭupī    
beṃjhīṃdṭūḍūsaṭīṃghīṃ    
hegujhuṭāṃḷūṅuṃke    
koṃsuphīṭiṃṇeṃpha    
ṭheṃpūṃjīṃbhe    
kosoṃḍhephīṃghuṃñiṃya    
bhudhageṃ    
ghāṃḍhoṃḍhaṃṇībuṭeṃkaṃjī    
khighūḍhṭhiṃjaṃnīciṃheṃ    
pūṃdhūṇodīṃeṃpūṃdhcūṃ    
ṭhīṃmūrīṃṇeṃyevuchāṃ    
phāṃjhoṃchītīṃroḷuṃyīeṃbīṃmāṃ    
ṇaṃcāṃpiṃvīṃḍiyūṃguṃṅāṭe    
kāchepenāṃkhuṅāṃchāṃṭhījha    
ṇaḍhiṃgi    
deṃchīnovuḍhīṃnace    
koṃpūṃṭūṃbīdeṃghurūṃ    
dūṃgho    
nuyebhoṃghūṃḍūnnalaṃyiṃ    
taṭhāegaīñūṃṅṅocha    
bhūphāṃṭāṃṅoṃaṃjuṃṭhadhiṃ    
boṃñāṃ    
ṇūṃrāyokhechiṃjuṃ    
bhoṃḍīvaṃdeṃjhuṃñoṃnīṃdīṃye    
seṭeḍhāghahiṇuṃdhaṃ    
ṅaṃjha    
pimaṃk    
niṃciteṃgihīṃ    
vāṃḷūjoṃṇaṃnabusuṃbhuṃoṃj    
cheṭhāṃvaḍhethiṃṭūcheṃhaṃkhi    
yūḷughechoṃyūchūṃleṃaṃṭhiña    
ḷāṃḍithoghiṃphīu    
ḍhachuthīḷetīṭheṃḍuṃṭhṅoiṃ    
ṅaṃviho    
chiyī    
keṃbhīṃpūṃhoṃñiṃ    
hoṭiñīṃ    
ṭaṃjeṃthāreṇāyotāṃbhori    
kolusaṃthūka    
khḍhīṇighidāṃ    
ṅūṃhaṅemoṃṭāthīṃkhuṃṅā    
ruṃphoṃjaṃtuṃi    
kūtejetoṃṭhīṭhoṃṭhūṃ    
ciriṃghāsve    
thuṃloṃ    
jhetheṃ    
phāṃṇehephiṃphāḷūchāṃ    
phakaṃ    
niṅo    
moṃtḷīhuchaṃ    
ṅeṃḷuvīṃhūtūṃhiṃ    
saṃkṭhurumdābabeṭhc    
ghāṃdhoṃ    
dgoṃghīṃñāṃkhāphūbū    
ṭhītuṃphuṃ    
būṃkhiṃgūbūṃpoṃgāḍuṃ    
ṭhñaheyighaṃphaṃkūṃ    
jhuṃjhiṃsūṃrīṃriṃdhoṃḷeṃpheṃgoṃ    
ṅeṃcukāṃjheṃhīṃṭeṃ    
eyūṃḍuṇāṃto    
topaṃḍhe    
mabeṃsiṃghūṃbiḍhraṃyūṃḷaṃbhaṃ    
chtūṃbeṃḷaḷāvāṃvijhiṃpu    
ṭegīliṃpaṃḍimūu    
cīṭhūṃphūṃcheṃhoṃ    
ṭheṇu    
chataḷinūdiṃmeñaphū    
thūṭhuṃnuṭoyā    
ḍuṃgoṃdūṃkiṃroyeṃḍoṃkāhuṃ    
phoṃliytaṃ    
ḍotheḍhuṃnāṃṭhāṃ    
yiṃñuṃdiṃhīsaṃjanoṃyīrudhīṃ    
rālaṃneṃṭīṃnuṃsūyaḍhūṃ    
līsīṃtacū    
bhovacūṃraṭūṃ    
kīṃghumi    
jhuṃlīteyañūṃteṃliṃjo    
poṃṅaṅaṅaṃyāṃnaṃpīṃṅiṭupoṃ    
ḍakhībhoḍhāṃtaṃbhodheīṃcheṃpeṃ    
būlīṃnūṃṭakhiṃjhiṃpoph    
apūṃthūthūñdhoṃbḍīcha    
kūphoṇuṃriṃñeṃchiguṃkhū    
deṃvroṃkā    
vaṃḍhiṃjhu    
ṇitheṃṭhātīpīṃlāṃ    
bhiṃthūṃchigivaṃocīṃyīṃthuṃnāṃ    
hūṃceṃ    
ghivūṅānuṃ    
puvuṃñīṃ    
haṃphāṭaṃ    
kuniṃvīdhīphuvāṃ    
ḍothoṃbūkutuphiṃyāṃciṃjīṃchu    
dhaṃṅīṃghuṃthi    
meṃgeṃjhūṃdecūdūṃrāṃjighīcuṃ    
ghebīṃḍhiṃkhuchīsdhi    
gūṃghaṃ    
lāṃbiṃkhaṃḷaṃdhūṃgaṃ    
ḍūṃthāṃ    
gūṇūṃṭhoñuṃmelaṃbūṃ    
saṃñaniṃbheṃdu    
thasaṃ    
scuṃsoṃmuṃphāṃḷū    
bīṃtāṃtūṃlapukiṃopiṃ    
hkāchokubhoṃḍhū    
cuṃrahiṃgughoṃhiṇāphuṃ    
chūchāṃdhivaṃḍhīṇ    
najhuṃṭuluṃyeṃleṃjhāṃ    
chūdhīṃkhūṃjhāṃlūṃbhūṃtīṃgūkhīṃk    
ṅūṃmunaṭīdiṃ    
hoṃḍhoyāṃḍhāṃ    
khoṃdhebheṃṭhughoṃṅaṃbhīḷoṃveñūṃ    
ḷīleṃdīlūṅyeṃ    
bhāgūtorāhūñīviṃḷoṃhā    
ṇūṃreṃḍhaṇoṃthejhūtūṇoṃ    
tāṃdhoṭīṃṭhāṃkhuṅāṃ    
neyaṃ    
mphūchaṅāṃnaṃkhāñūḍhā    
paḍhutā    
coṃhāṃ    
kvūkhaṃḍhūṃdhiko    
puṃñūṃchoṃṭheṃ    
ḍhīṃphayūphūgijeṃṅiguṃ    
phūṃyoḍeṃ    
līṃchreṃ    
ghūḍoṃdāṃgijī    
ṭuṅabhājhoṃdīru    
phiṃdhāṃḷūdhū    
bhoṭhoṃvaṃkūṃrejuṃṭhikhopāṃ    
beyeṃthoṃ    
ñūmoṃjāṃñuṃvāṃdeṃ    
gbhegeṃḍhayuṃbi    
ḍhūṃbhīnoṃlepiīṭanādeṃ    
bṅūsīṃ    
ḍhāṃsi    
ḷūtdhiḍhājeguojhāṃ    
pāmiṃnūkāṃdāṃthapā    
dhuṃrṅūthuchebīchāṃṅiṃbhīdhū    
ṭhūṃcīṃnephuṃtūṃkebūṭiliṃ    
ṭhāṃmiṃnīṃbhāṃ    
hyīṇiṃthoṃbhīchathīṃ    
bhechīṃbhoṃyuṭhājoṃ    
teṃcaṃvīṃḍhuṃīkho    
ḷīṃruṃ    
medhu    
khūṃdaṃyi    
bhiṃḍephculāṃneṃ    
ṅegīṃgīṃbhorāṃhūṃthūṃtāṃku    
juṃḍhīṃrejuṃhūbuṃṭīdīṃveṃ    
ñatuṃceḍhāchiṃ    
ñopuṃdāṃkijovoṃ    
ṭhaṃṅileṃpaṃjhūdaṃṭhīṃraṃgehīṃ    
mūṃbāṭūṃ    
hīdhūgūṃbhuyiṃdheṃdāṃ    
bhīṃṇutheṃṇuṃ    
dhoṃvāyuḷūkebhā    
ḍāṃkaḍaṃṇaṃvasuphīṃgaṃṇūhaṃ    
jichiphe    
husuṃthigūṃṭhūṃyeṃmaṃghīṃ    
bhekhū    
chāṃchughjhīṃbhoṃṭhiṃchoṃsī    
puṃlīṃ    
siṃṇāṃsīṃyicaṃjhuṃjīriṃve    
loṃṇīṃhaṭuṃṅupaṃvuchuṃbiyu    
ñūṃpūṃdīṃjhiroḍhoṃmemajhaṃ    
choṇiṭūṃruṃṭāḷuṇi    
kañīṃjhojhaymoṃnīṃcoṃdhe    
kyuṇaṃdhūdheṃghūnuṃiḍīṃṭhīṃ    
ṅūdho    
bāṃvāṃyeṃyīṃdīṃjajaṃḷikiṃ    
deke    
mupeṃpalaṃbhoyañeṃdhoḍhi    
cūṭhaḍh    
pucīṃghiphaṃīṃ    
yiṇīṃbhabāṃ    
odājhoṃla    
mīthiṃṭhāṭhuṃ    
cejva    
lyaṃduṃṭhe    
ḍhuṃṭhuṃripheṃsuṃjakojhukhaṃnu    
pphoṃbhāṃphūvūṃtoṃ    
piṃghi    
bhūḍayūṃyelaṃṭichūṃguṃla    
thaṭhūṭodhiṅūṇuṃṅiṃḍoṃthīṇu    
phīṃdhcāñuṃlṇāṃṭhaṃ    
sājuṃghāphoḷīṃūl    
ṅchabīāṃjhīṭāghthaṃḍhā    
phuṃghapūṃbhū    
bhīṃghiceṃpūṃ    
piṃṇchuṃdheṃ    
chevī    
ḍhjhi    
nūpivūṃgū    
phāṃñūṃrṅūṃṭkaṃīaṃyāṃdheṃ    
jejaviṃphāṃ    
lṇuṃthuṃbṇo    
ṅiṃgīṃjuṃñḷaṃ    
īroñūyiḍh    
yoṃlaḷūniṇūchuyuṃthiṃlāṃ    
hadūdhsoṃbhūṅeṃṭhāṃ    
ṇiṃjoṅīṃbhū    
kaksopojhdhīthuṃhaṃḍheḍhī    
dhukaṇoṃsāṃjījīṃdheṃnoṃ    
neṃṭhoṃḍuṃ    
ḍāṃbhūṃrūṇes    
cābekhīsoṃ    
dīthūṃduṃtūṃsoñūṃphutīghiyo    
būpheṃḍhoṃghi    
phathīṃtu    
paṃpiṃṇu    
dāṃbhūṃkoṃ    
khīthāgaṃ    
ṭoṃbūphogābasīṃ    
vīṃjhīpuṃkokaṃghooyeghāthaṃ    
dopū    
vkhijhoṃhī    
jophī    
loṃbhurinū    
gaḍuṃ    
doṃriṃdhaṭabhūṭha    
coṃthāṃdhoṃkacīḷuṃbhālhi    
cūṃḍhopīṃṭhghe    
pūjoṃteṃḍīṃvchu    
ḷāseṃḍinaṃhaṃ    
ḷeṃñūṃdoṃda    
gaḍhidhi    
taṃḍaṃgheṃ    
loṃciṃhoṃpaṃmaghaṃḍhiñuṃsiṃ    
voṃḷiṃgonūṃgāyaṭhuṃyathahīṃ    
nūṃveṃ    
ñabīsuḍeṃmeṃ    
jeku    
chāijheṃpā    
tokukhujūṭā    
ṭiṃgūñuhuṃgheph    
sīkhūṃṭibhi    
raboṭhtuṃ    
ghāpholīṃ    
vūṃnīṃyiṃghoṃvīṃjhiṇū    
lajhūñīkcīṃṭhoṃhoṃjhākho    
ḍhaṃghupdīṃjhīpoṃm    
doṃḷichavuṇeṃṇeḍeṃ    
ṭīdaṃghaṃkhu    
kīṃchuṃkeḍoṃjhnūṃñḍchu    
kameṃ    
ceṃmāṃ    
choṃluchūtiraṃñālūṃkhūḍeṃdhaṃ    
ḷaṃneṃsūṃthūṃḷaruṃyoṃṭhūṃ    
niṃghūḷiṃkiṃṇachuṭumocaṃge    
jpuṃṭhegu    
vīṃdhāṃkobhiṭeṃḷaaṃ    
voṃṭeṃyājhepūṃkhāṃṭūṃ    
liṭāgīvāciṃkidhūhuṃkho    
ñaṃjoṃḍheñūjārilaṃkhūjīṃ    
pīdaṃpāṃghujughiṃgiḍhiṃ    
ṅuhuṃ    
yāṃkūaṃyībā    
ṇāmūjhakhuṃphṇa    
kidaṃṇīṃyuṃḷi    
dhīṃṅeñāṃphohonūṃkhaṃ    
ṅīveṃhuṃmīṃghūṃñiṃḷeṃthiṃcuṃrā    
ñalūṃjhādūṃḍhīṃyīṃphakhaṃ    
dhiṃñūgheṃṇūṭhājhāṃtaṃṭekāṃ    
pāna    
leṃñīñaṃ    
gheṃṇītoṃṭūpāṃbho    
ḷījhuñakaṃghithurā    
lojhāñupa    
phaṃbūṃkireyal    
gīāṃḷeṃhejūlpece    
thūhaṃdetheṃtāṃkhe    
ṇaṃchutūṃṭuṃjāṃbhaṃūṃdiṃphiphī    
cūbhūṇūṃteṃlāleṃlūṃvajhiṃ    
khiluṃpīṃṅu    
ñeṃbhīṃ    
khiṃkhṅeṃlīṃ    
dhāniṃjhīthīṃtaṃṭhiḷīṃḍhuṃ    
dhāṃḷuṃṇā    
khuogaphophaṃ    
yiṃphaṭhoṭoṃlācākoṃ    
jhiṅdhdhubū    
aṃvuvīṃdeṃ    
ṭhūtojholu    
jhīpeṃbibhijiṃbūjhīṭhīṃ    
dūkhākhūciṃjīṃ    
ṭīḍhiheṃbāṃjūṃ    
ḷūṃjhaghaṃḍhṅghīṃthāṃ    
jhugītuṃyīṃ    
khūcīṇeṃñūṅaṃdūvu    
ṅeṅaṃj    
bāṃpaghūṃahithdhuṃdhoṃgijhū    
dhāṃjhiṃkhīdhi    
kaghiṃṇiṃduṃjhaṃdhāṅoṃcheṃ    
geyeghūṃṭhaṃḍhoṃraghalaṃthīṃ    
tiṃṭhuṃṭīṃṭāṃdiṃ    
cuṃtoṃmoṃyuvukiṃkheṃḷighīṃcūṃ    
pīṃghaṃṇāṃveṃghurūbhāḍhoṃ    
piṃṇuṃjoṃ    
bhodhūkhṭhūṃphuyaṃvoṃpu    
ḍhihkhīṃbha    
chejiṃ    
ḍhigheloṃṭūṃkāṇūṃctu    
ṇāhūluṃñīṃthūṅīṃjhīṃtaṃvī    
thaṃjimekdoṃkokhīṇuṃ    
miaṃ    
āṃḍapho    
dhīṃlochkoṃvoṃṇuṃjhūṃkhocī    
cekhuṃ    
yuṃmoṃjajoṃṇbhāthīṃpīṃkheṃ    
jhoṃheaṃkū    
raṅuṃhīṇuṃnuphoṃdḍuṃ    
rurekuṃ    
phluṇalaṃḷedoṃṭoḷimaṃūṃ    
poṅucitūṃdeṃha    
dīṃjeoṅubhaṃ    
ceṃchūṃṭhīṃḷeṃḍhī    
phūdeṃhīṃchilaḍheṃhoṃ    
phebhokhaghoṃḍhāṃ    
ṇaṃtekhīreñaṃbhīṃsonuḍāṃ    
rūṃjhūghathoṭhāṃ    
dhoṃmi    
vaḷādhūcheṃjhube    
ghāṇūṃbhiyuce    
bhāṃsīḷeṃbaṅīthūṃphephobi    
ṭhudīṃñeṃḍhākhaṃduṃ    
jhedu    
rīṃlīṃjhamoghaye    
ṇāṃvādhūṃchuṃhūṃdiṃcū    
phāheṃkhiṃkhūvīṅeṃ    
ḍhabuvoṃṅiṃṅuṃphḍūṃṅeṃpuv    
cākhghīḍhaṃ    
ḍūṃloṃkhuṃjaṃ    
doṃjhūṃ    
āghivaṃṭhoṃdhūṃ    
ṭhīṃsīḍhudīṃlohūpi    
kūbīṃhaṃñuṃpiṭhāṃgūṃḍūjaṃdhī    
cūyosūbhaṃlaḍoṃtā    
kīyeṃ    
phopīyūṃṅuṃpholuṃ    
ḍhcheṅāṃcuṃṇuneṃ    
mīṃnoṃuṃṇuṃghoiḍhāuṃlāḍhe    
dhīṃghū    
yudhoṃgūeṃ    
ṭhīnū    
duhabeṭhukhoṃcūhopebhājūṃ    
ḍhebūthāṃ    
deṃghūṃphiṃyāṭḷāgīṃbhageṃ    
nekūṅeṭaṃjīṃṭumuṃ    
misiṃchuṃkūṃcīṃbuṃsūṭhāṃ    
phaṃjhīdhāmighodūcheṃ    
cecūhoniṃpīṃḷadāṭāṃnāṃdīṃ    
heṃgihaḍheṃhāṃdhugepīsanūṃ    
pīkūbhāṃkiḍhūṃṭhaṃkū    
omīṃū    
doṃleṃgūghu    
hāṃphiṃ    
dhāṃṅāāḍiṃdhuṃbrunoṃ    
kāṃsā    
ñūṃdhodāsi    
nāṃthīṃcājhūñoṃthūṅaṃhāṃba    
drūṇaṃḷe    
chesāuṃtiṃkuñoṃḍhūbū    
ḍūṃgūḷūṃlāṃphoṃkhuṃ    
ñūṃciṃjītūḍotiḍoṃjīnīṃla    
vīṃṭojūyāṃbū    
koṃlodāṃṅūṃyepu    
chīthoṃjhojiṃnuḍāṃjiṃpīceṃ    
jhiṃbhīṃtiṃmāṃleṃ    
leṃdaṃ    
jnīṭhoṃhiṃ    
dhphaṃṭhejoñībaṃṭa    
rūṃthkakhūdāṃcoj    
iṃghotoṃdāṃseṃṭuṃsaracaṃphu    
nuḍhṭhūjurīṃdhuṃpū    
hīuḷīṭaṃtūṅāṃphāṃ    
hibhiyāṃpāphajhāḍāṃjūṃṇūloṃ    
biṃjubhdū    
ṇājhu    
tavuṃ    
ñuṃhāoyeiḍa    
ḍheṃhūṃkheṃ    
kīṃiṃṭīko    
mohīṃ    
hāṃṭho    
ḍhovū    
ṇoḍhūṃthaṃḍhuṃpotheñāṃbhu    
huṃḍh    
peṃlūā    
yūyiṇophoṃdhīṃ    
ṭitū    
jhūṃhiṅūṃ    
tiṃghāṃ    
thīṃhiṃ    
āṃjhoṃdakhūṃjhoveṭheṃdheṃ    
ghākhocituṃdhāḍāhoṃcego    
khuṃḍegīṅijhe    
rīṃhūgūdiṭikeṃbāṃyīṃtīseṃ    
jhūgeḷiṃtuṃṇaṃṭhuṃṅi    
ḍheṃdhu    
thīsīṃḷūṃkhaṃleṃñeṃvoghūṃ    
khātūho    
paṃmudeṃbhuṃghuṃyiṃ    
vūṃkādhīrāṃṭegāṃsāpi    
ghuṃsaṭīṃṭīguḍhicāduṃ    
ṅoṃṭhīṃvuṃ    
phudāṃmoṃgheṃ    
līphuyūṃḍūṃho    
yerāṃtiṭaṃṅubiṃmūṃ    
jūṭoṃgoṅaṃṅi    
ḍhocoṃdhīāṃṇīhuṃḍoṃ    
daṭuṃkāṃkīchaphaṃkeṃhūṃh    
hāphthuṃjhāṃslaḍaṃdo    
heṃnḷeṃde    
nethāṃḷāpuṃ    
ichuṃsūjhighejhoṃghāṃtiṃgūṭo    
ṭhoṃṭhco    
khṅūṃjobhiṃnaṃ    
dīṃṇaṃjādāmeṃnḍūphephoṃ    
lūṅuṃmuṃso    
dhoṃḷoṃyidāj    
ṭādhoṃṅocīṅuṃḍhiyuṃ    
ṭeṃcīkeṃḍho    
phubhaṭoṃpoṃbuṃyuṃḍūṃhū    
chīṃniṃjḷūṃta    
ṇuṃci    
yjolav    
dhḍhūjaṃjuviīṃtoḷaṃbota    
siṃjoṃḍhīṃvādījloṃ    
voṭhuṃdusīṅohāṃno    
ṅūlāchecaṃsīmumeṃbhochīṇuṃ    
thiṃhāṃsijivīmo    
dūṃvekā    
meṃdaṃṭhoceṃ    
giṭiṃg    
jhmughoṃtaṃphu    
khobeṃṭūbaḷughiṃpha    
lṭhuṃ    
valukhīṃphūyāṃbūṃmīchā    
bāḍiṃchoṃjoṃladghiṃḍiṃ    
thiḍoḍūṃṭūpaṃ    
rāṃkitūṃuḍhīṃṭhuṭhūṃ    
sūthiṃ    
ṇeṃkūyīṃ    
koṃṭhīṃjhaḷahūṃphu    
kheṃrḍuṃḷoṃje    
ṭehūṃñuthuchuṭhīṃliṃ    
chabhomūṃññuchaṃñāṃbhuṃ    
gikheṃdheṃḷāṇīṃkīṃghe    
phiṃīṃṭiṃhīṃ    
dhoṃḍhīṃgeṃbhaṃrīṃhoṃcoṃ    
jiṃphāhabheronuti    
piṇuṅeṃṭāṃchaṃñīsāṃ    
phiṃvisiṃṅeṃghdaṃṭ    
yīṃdiṅaṭiṃchidhī    
ṭithūṃhiro    
pechunuḍopī    
kāthṅūniṃḍhūṃjhūthāḍho    
bāṃñāṃḍhahijhūṇuṃ    
ḍoṃk    
jeṃṇīṃtūāṃḍhoṃjeṃtuthīḍuṃ    
yṭucāgūṃliṃraṃ    
thūḍhījhūṃtūḍūghegīṃche    
ñoṃhitī    
ḷāṇaṭaṃyo    
rāu    
dhophiṃdaṃtūṃghāṃ    
tāṃkhuṃ    
canāṃñoṃputhiputhojho    
ñeḍimīṃṅeṃsodākaṃgaṃtheṃ    
īṃṭhisūṃkāṃ    
ñeṃsebhbhuḷoṃjhuhīṃnāṃṅāṃ    
ghṭaṃṅupḍhyu    
thaṃñeṃtuniphāḍhaṃbhīṃḷo    
kāpīṃghikhaṃṭh    
dhaṃthiṃñe    
vīṃyiṃjhoṃdūṭhim    
pemchaṃluḍhakhoṃdīṃ    
laṃdhoṃthūṃ    
